Date,Day,Bus no.,Arrival time,Arrival location,Passengers onboarded,Passengers left,,,,,
4/14/2018,Sat,a-1,9:00:00 AM,Lagankhel,9,5,,,,,
4/14/2018,Sat,a-1,9:10:00 AM,Jawalakhel,6,10,,,,,
4/14/2018,Sat,a-1,9:15:00 AM,Pulchowk,4,1,,,,,
4/14/2018,Sat,a-1,9:30:00 AM,Kupandole,7,6,,,,,
4/14/2018,Sat,a-1,9:35:00 AM,Thapathali,6,10,,,,,
4/14/2018,Sat,a-1,9:45:00 AM,Tripureshwor,9,0,,,,,
4/14/2018,Sat,a-1,10:00:00 AM,NAC,4,6,,,,,
4/14/2018,Sat,a-1,10:20:00 AM,Jamal,1,1,,,,,
4/14/2018,Sat,a-1,10:40:00 AM,Lazimpat,7,5,,,,,
4/14/2018,Sat,a-1,10:50:00 AM,Panipokhari,1,8,,,,,
4/14/2018,Sat,a-1,10:55:00 AM,Teaching,1,5,,,,,
4/14/2018,Sat,a-1,11:05:00 AM,Narayan Gopal Chowk,10,7,,,,,
4/14/2018,Sat,a-1,11:25:00 AM,Samakhusi,7,1,,,,,
4/14/2018,Sat,a-1,11:30:00 AM,Gongabu,9,7,,,,,
4/14/2018,Sat,a-1,11:35:00 AM,New Buspark,4,10,,,,,
4/14/2018,Sat,a-2,9:45:00 AM,Lagankhel,10,10,,,,,
4/14/2018,Sat,a-2,10:00:00 AM,Jawalakhel,9,9,,,,,
4/14/2018,Sat,a-2,10:15:00 AM,Pulchowk,0,5,,,,,
4/14/2018,Sat,a-2,10:35:00 AM,Kupandole,0,2,,,,,
4/14/2018,Sat,a-2,10:45:00 AM,Thapathali,7,9,,,,,
4/14/2018,Sat,a-2,10:55:00 AM,Tripureshwor,7,7,,,,,
4/14/2018,Sat,a-2,11:15:00 AM,NAC,7,1,,,,,
4/14/2018,Sat,a-2,11:35:00 AM,Jamal,5,9,,,,,
4/14/2018,Sat,a-2,11:50:00 AM,Lazimpat,10,3,,,,,
4/14/2018,Sat,a-2,12:00:00 PM,Panipokhari,1,6,,,,,
4/14/2018,Sat,a-2,12:05:00 PM,Teaching,2,9,,,,,
4/14/2018,Sat,a-2,12:20:00 PM,Narayan Gopal Chowk,3,10,,,,,
4/14/2018,Sat,a-2,12:45:00 PM,Samakhusi,1,10,,,,,
4/14/2018,Sat,a-2,12:55:00 PM,Gongabu,1,9,,,,,
